週識別子,バッチ,投稿番号,媒体,投稿日,投稿時刻,曜日,ステップ,本文ファイルURL,素材フォルダURL,予約ツールURL,特記事項
2026-W19,火曜,6,Flodesk,2026/5/21,6:00 JST,木,Day 21,https://drive.google.com/file/d/1yfys_O94uQqtSNFn3F2l2xuWbo13bFtO/view?usp=drivesdk,,https://app.flodesk.com/,🎬動画リンクあり
2026-W19,火曜,7,Flodesk,2026/5/22,6:00 JST,金,Day 22,https://drive.google.com/file/d/1sBfpL5-djF-hO6fVQwjCi6b19eWh1F1Z/view?usp=drivesdk,,https://app.flodesk.com/,🎬動画リンクあり
2026-W19,火曜,8,Flodesk,2026/5/23,6:00 JST,土,Day 23,https://drive.google.com/file/d/1llTxc4xcviOn9sEgTz3xw63IdPCaMeIE/view?usp=drivesdk,,https://app.flodesk.com/,🎬動画リンクあり
2026-W19,火曜,9,Flodesk,2026/5/24,6:00 JST,日,Day 24,https://drive.google.com/file/d/1HKhe9LbETP0hynfq-pZ8MWITDHsdBfW9/view?usp=drivesdk,,https://app.flodesk.com/,🎬動画リンクあり
2026-W19,火曜,10,Flodesk,2026/5/25,6:00 JST,月,Day 25,https://drive.google.com/file/d/1NXU01RhB2mGCXtf7OSh8tg3SPpzCCs6z/view?usp=drivesdk,,https://app.flodesk.com/,🎬動画リンクあり
2026-W19,火曜,11,Flodesk,2026/5/26,6:00 JST,火,Day 26,https://drive.google.com/file/d/1l57CxuRupa0S-wbER8xWbDaNMu10ivpk/view?usp=drivesdk,,https://app.flodesk.com/,🎬動画リンクあり
2026-W19,火曜,12,Flodesk,2026/5/27,6:00 JST,水,Day 27,https://drive.google.com/file/d/1G5gLubvafsMEJcxGWh1z493783cesg00/view?usp=drivesdk,,https://app.flodesk.com/,
2026-W19,火曜,13,Flodesk,2026/5/28,6:00 JST,木,Day 28,https://drive.google.com/file/d/1BxFdS_rV06AAprNKVyeiLE8p6jopkyOD/view?usp=drivesdk,,https://app.flodesk.com/,🎬短編2本（合計約12分）
2026-W19,火曜,14,Flodesk,2026/5/29,6:00 JST,金,Day 29,https://drive.google.com/file/d/1kD2ePqbiuhwtXA0I-8Cbank5PGW9-vVz/view?usp=drivesdk,,https://app.flodesk.com/,動画なし
2026-W19,火曜,15,Flodesk,2026/5/30,6:00 JST,土,Day 30,https://drive.google.com/file/d/16QaGuFI1g7FgsdbYc2ILAbPlNcR88R5L/view?usp=drivesdk,,https://app.flodesk.com/,🎬動画リンクあり
2026-W19,火曜,16,Flodesk,2026/5/31,6:00 JST,日,Day 31,https://drive.google.com/file/d/1o2nkxu4GAN-U-_n3Ry-KkrToGY8gOCnh/view?usp=drivesdk,,https://app.flodesk.com/,🎬動画リンクあり。月末フィードバック依頼あり
2026-W19,火曜,17,Flodesk,2026/6/1,6:00 JST,月,Day 32,https://drive.google.com/file/d/1RkPbJbuP60ETpyW_vql8YfMGk2qt6o7F/view?usp=drivesdk,,https://app.flodesk.com/,🎬動画リンクあり
2026-W19,火曜,18,Flodesk,2026/6/2,6:00 JST,火,Day 33,https://drive.google.com/file/d/1v1PQ0vUjHgaBVkhUWqc7NSeizYxBomyz/view?usp=drivesdk,,https://app.flodesk.com/,🎬動画リンクあり
2026-W19,火曜,19,Flodesk,,,,✅最終チェック（必須）,,,https://app.flodesk.com/,Day 16〜33の予約セット完了後、必ずテストメールを所定の2アドレス宛に送信（送信先はChatworkのアプリを参照）。テストメール内の全リンク（動画タイトル・動画分数・各リンク先）が原稿と一致しているかを1通ずつ確認。すべて一致したらこの作業完了とする
2026-W19,金曜,1,Vimeo編集,2026/5/8,,金,動画分割編集依頼（第3弾）,https://drive.google.com/file/d/1IPq3PSs8P7sxuBEw_w2ZFB4HCu_STDgQ/view?usp=drivesdk,,https://vimeo.com/,【新規依頼】2本の動画分割編集（5-1を2分割／5-2を3分割＝計5編）。最遅5/8(金)。メール予約配信業務を優先してOK。新Vimeo URLは「IOB講座詳細」エクセルに直接記入。詳細はPDFを開いて確認
2026-W28,カルーセル,1,Instagram,2026/7/8,6:00 JST,水,61_オーガニック家庭菜園,https://drive.google.com/drive/folders/1V_LFhH1GxST1Sq-TZyZCDHAcj2dFcUax,https://drive.google.com/drive/folders/1nmox_E8xl85qJ2XZ9IUjKljY-9TbOcFv,https://business.facebook.com/latest/posts/scheduled_posts,FINAL/の画像を順番にアップ→最終ページに共通CTA→共通キャプション貼付
2026-W28,カルーセル,2,Instagram,2026/7/9,6:00 JST,木,62_オーガニックコスメ メリット,https://drive.google.com/drive/folders/1qwB-SgaH1hzVOx5uf68qjITRYG6VO8Ze,https://drive.google.com/drive/folders/1nmox_E8xl85qJ2XZ9IUjKljY-9TbOcFv,https://business.facebook.com/latest/posts/scheduled_posts,FINAL/の画像を順番にアップ→最終ページに共通CTA→共通キャプション貼付
2026-W28,カルーセル,3,Instagram,2026/7/10,6:00 JST,金,63_オーガニックライフ 今から始めても遅い？,https://drive.google.com/drive/folders/1thtlcZndDvJrIk-qdkX6_rwevazlWs7B,https://drive.google.com/drive/folders/1nmox_E8xl85qJ2XZ9IUjKljY-9TbOcFv,https://business.facebook.com/latest/posts/scheduled_posts,FINAL/の画像を順番にアップ→最終ページに共通CTA→共通キャプション貼付
2026-W28,カルーセル,4,Instagram,2026/7/13,6:00 JST,月,64_ぼかしコンポスト,https://drive.google.com/drive/folders/1disDFX8kgyDpBobT6AyCXkdSYexOHkjZ,https://drive.google.com/drive/folders/1nmox_E8xl85qJ2XZ9IUjKljY-9TbOcFv,https://business.facebook.com/latest/posts/scheduled_posts,FINAL/の画像を順番にアップ→最終ページに共通CTA→共通キャプション貼付
2026-W28,カルーセル,5,Instagram,2026/7/14,6:00 JST,火,65_安い商品は高額,https://drive.google.com/drive/folders/1jouz00oFsG2KSvcnLQJXgv_GUrIOzMjV,https://drive.google.com/drive/folders/1nmox_E8xl85qJ2XZ9IUjKljY-9TbOcFv,https://business.facebook.com/latest/posts/scheduled_posts,FINAL/の画像を順番にアップ→最終ページに共通CTA→共通キャプション貼付
2026-W28,カルーセル,6,Instagram,2026/7/15,6:00 JST,水,66_瞑想,https://drive.google.com/drive/folders/1ymkYc73xSQyD3yDr4aONLPAgZk1V5A8s,https://drive.google.com/drive/folders/1nmox_E8xl85qJ2XZ9IUjKljY-9TbOcFv,https://business.facebook.com/latest/posts/scheduled_posts,FINAL/の画像を順番にアップ→最終ページに共通CTA→共通キャプション貼付
2026-W28,カルーセル,7,Instagram,2026/7/16,6:00 JST,木,67_オーガニックがいいのに,https://drive.google.com/drive/folders/1NIfXcVF32ubOKNUCbbaNI2pXA2-SL4q7,https://drive.google.com/drive/folders/1nmox_E8xl85qJ2XZ9IUjKljY-9TbOcFv,https://business.facebook.com/latest/posts/scheduled_posts,FINAL/の画像を順番にアップ→最終ページに共通CTA→共通キャプション貼付
2026-W28,カルーセル,8,Instagram,2026/7/17,6:00 JST,金,68_オーガニックコスメだと思って使っていたら,https://drive.google.com/drive/folders/1WF27tQarGSo5DGPhEa11tJI4FLJXAwsr,https://drive.google.com/drive/folders/1nmox_E8xl85qJ2XZ9IUjKljY-9TbOcFv,https://business.facebook.com/latest/posts/scheduled_posts,FINAL/の画像を順番にアップ→最終ページに共通CTA→共通キャプション貼付
